fid,district,dist_name,shape_star,shape_stle,SHAPE__Len,SHAPE__Are,dist_area,OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,ShapeSTAre,ShapeSTLen,trac_area,int_area
"2","2",Southeastern,259727662.838999986648560,166650.351296000008006,65673.352493371596211,40327843.597975626587868,"24130816","3034","24","510","240100","24510240100","2401",Census Tract,G5020,S,"1906851","2352887","+39.2650952","-076.5874454",7116030.937500000000000,11965.074035850224391,"4259735","33160"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","1738","24","510","280500","24510280500","2805",Census Tract,G5020,S,"923979","0","+39.2951239","-076.6029382",1544831.484375000000000,5214.821834606654193,"923979","561491"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2194","24","510","060400","24510060400","604",Census Tract,G5020,S,"430129","0","+39.2950986","-076.5909176",719148.644531250000000,3425.695103471074617,"430130","214328"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2195","24","510","070100","24510070100","701",Census Tract,G5020,S,"290634","0","+39.2998323","-076.5754298",485984.781250000000000,2841.392630540977279,"290634","182140"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2196","24","510","070200","24510070200","702",Census Tract,G5020,S,"311145","0","+39.2996608","-076.5810142",520279.281250000000000,3201.015460845304460,"311144","197239"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2197","24","510","070300","24510070300","703",Census Tract,G5020,S,"228689","0","+39.2994991","-076.5859396",382398.222656250000000,2740.965336630474212,"228688","200616"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2198","24","510","070400","24510070400","704",Census Tract,G5020,S,"326989","0","+39.3002032","-076.5928470",546780.281250000000000,3178.272640735900495,"326988","326988"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2212","24","510","080101","24510080101","801.01",Census Tract,G5020,S,"2323952","1899","+39.3228490","-076.5790240",3891774.054687500000000,9019.037464755401743,"2325851","55"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2213","24","510","080102","24510080102","801.02",Census Tract,G5020,S,"365633","0","+39.3170456","-076.5758920",611698.859375000000000,3596.167584385502778,"365636","4"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2218","24","510","080200","24510080200","802",Census Tract,G5020,S,"856268","0","+39.3119650","-076.5816166",1432306.898437500000000,5733.623796063570808,"856269","776916"
